group,seed,episode,tau,phi_g
trained,1,4,-279,3.8039974009319004
trained,1,4,-274,3.4898118866874985
trained,1,4,-269,3.9441040656340913
trained,1,4,-264,3.8089124230198603
trained,1,4,-259,1.569600517642367
trained,1,4,-254,1.784601713729221
trained,1,4,-249,1.0289760501675627
trained,1,4,-244,2.979395499276486
trained,1,4,-239,1.051635880743056
trained,1,4,-234,0.6796543220574166
trained,1,4,-229,0.9204498102745482
trained,1,4,-224,0.9089127956636545
trained,1,4,-219,0.8250718350177524
trained,1,4,-214,0.8614311270509637
trained,1,4,-209,1.5200473825188865
trained,1,4,-204,0.9167799419909521
trained,1,4,-199,0.6269261647681501
trained,1,4,-194,0.5379628400954234
trained,1,4,-189,0.4893067255275303
trained,1,4,-184,0.5108688893530353
trained,1,4,-179,0.8411410288707759
trained,1,4,-174,0.5256324445652737
trained,1,4,-169,0.5620860254491753
trained,1,4,-164,1.4005209089917385
trained,1,4,-159,0.8462622204725997
trained,1,4,-154,1.0697778458078981
trained,1,4,-149,0.7148986025096045
trained,1,4,-144,1.4242988644803751
trained,1,4,-139,0.7544610829447603
trained,1,4,-134,1.3818040927451123
trained,1,4,-129,1.4848860614359296
trained,1,4,-124,0.937258672226928
trained,1,4,-119,1.0145497658067095
trained,1,4,-114,1.0880010126327695
trained,1,4,-109,1.2191945513150337
trained,1,4,-104,1.4039154348841403
trained,1,4,-99,0.5418548297090009
trained,1,4,-94,0.698063505158147
trained,1,4,-89,0.885535889052316
trained,1,4,-84,0.6804696741242791
trained,1,4,-79,1.2101730763008363
trained,1,4,-74,1.1795380520935814
trained,1,4,-69,1.1963591612715596
trained,1,4,-64,1.2529356452517721
trained,1,4,-59,1.5271383066079283
trained,1,4,-54,1.1266643360006052
trained,1,4,-49,1.0919838193308204
trained,1,4,-44,0.8116220708347215
trained,1,4,-39,1.2942565722793649
trained,1,4,-34,1.106817371719025
trained,1,4,-29,0.6682215137236904
trained,1,4,-24,0.6764144450999389
trained,1,4,-19,0.9612983821977381
trained,1,4,-14,1.4178164725775515
trained,1,4,-9,1.3030966285350165
trained,1,4,-4,1.1557189914823007
trained,1,4,1,0.8018424901910922
trained,1,4,6,0.8290056295568062
trained,1,4,11,0.8677893322906486
trained,1,4,16,0.8940705151309214
trained,1,4,21,0.8257123843615229
trained,1,4,26,0.7470509146386966
trained,1,4,31,1.0740559206322142
trained,1,4,36,1.4967595207598232
trained,1,4,41,1.306621413007948
trained,1,4,46,1.1494610641899852
trained,1,4,51,1.0845709534362569
trained,1,4,56,0.8716852396493631
trained,1,4,61,0.8162667246748381
trained,1,4,66,0.9922941351087853
trained,1,4,71,0.7595378882377327
trained,1,4,76,0.7591432146969151
trained,1,4,81,0.9262974656041569
trained,1,4,86,0.6381931321842305
trained,1,4,91,0.6034045727335042
trained,1,4,96,0.4821875679889499
trained,1,4,101,0.8020144877966047
trained,1,4,106,0.4578272058744194
