seed,episode,condition,shared_partition_signature,shared_partition_n1,shared_partition_n2,phi_r_g,group_decoupling_g,group_downward_g,group_part_driven_g
13,7,coupled,"A[4,7,8,10,11]|B[0,1,2,3,5,6,9]",5,7,1.8895122879284134,-1.2638420971087339,3.046108792627186,0.07766920197797567
13,7,default,"A[4,7,8,10,11]|B[0,1,2,3,5,6,9]",5,7,1.8723511375937687,-0.800473167946957,2.679777487513552,0.01898002758634787
13,8,coupled,"A[1,2,3,4,6,7,8,9,10,11]|B[0,5]",10,2,2.2203431106271303,-0.38184500594534754,2.6195395460289186,0.06647685063478548
13,8,default,"A[1,2,3,4,6,7,8,9,10,11]|B[0,5]",10,2,1.8982513431308146,-0.5755019096220244,2.3581950408294245,0.05772059692660525
13,9,coupled,"A[7,8,10,11]|B[0,1,2,3,4,5,6,9]",4,8,2.0991941266628835,-0.8056224523626172,2.870017611117484,0.018693981425982775
13,9,default,"A[7,8,10,11]|B[0,1,2,3,4,5,6,9]",4,8,1.9626608468134512,-0.2816779776955096,2.1171672383153433,0.07762414051228195
14,0,coupled,"A[2,3]|B[0,1,4,5,6,7,8,9,10,11]",2,10,2.674001418955088,1.114869412126687,1.3851638192889717,0.17473854073395634
14,0,default,"A[2,3]|B[0,1,4,5,6,7,8,9,10,11]",2,10,2.2922991935555577,0.918266166459607,1.4211826764140782,0.004759997854449027
14,1,coupled,"A[3,4,5,6,7,8,9,11]|B[0,1,2,10]",8,4,2.9210276728803164,-0.2230789463983216,3.030823818762334,0.054262144264098255
14,1,default,"A[3,4,5,6,7,8,9,11]|B[0,1,2,10]",8,4,2.0005694030473125,-0.3655778700606618,2.2386452176644562,0.022814706673778495
14,2,coupled,"A[3,4,5,6,7,8,9,11]|B[0,1,2,10]",8,4,2.4303693913447972,-0.4626547955866762,2.822418531237962,0.08138807569808049
14,2,default,"A[3,4,5,6,7,8,9,11]|B[0,1,2,10]",8,4,1.8001198608344202,0.576805746082794,1.094948692913834,0.05089051398608535
14,3,coupled,"A[10]|B[0,1,2,3,4,5,6,7,8,9,11]",1,11,1.7414158807794005,0.2101824757852646,1.495735260825924,0.12407585600739579
14,3,default,"A[10]|B[0,1,2,3,4,5,6,7,8,9,11]",1,11,1.8893928830391598,0.4690137027021657,1.4500667172029287,-0.016626179681984876
14,4,coupled,"A[2]|B[0,1,3,4,5,6,7,8,9,10,11]",1,11,2.3255698341465916,0.6672134746596745,1.5052019068879143,0.09330767959514263
14,4,default,"A[2]|B[0,1,3,4,5,6,7,8,9,10,11]",1,11,2.2618580281949874,1.114575921296252,1.2143466538005696,0.03184889449740269
14,5,coupled,"A[2,3,9,11]|B[0,1,4,5,6,7,8,10]",4,8,2.1481651486639435,0.35333648232763704,1.6715888215744952,0.09964864974166754
14,5,default,"A[2,3,9,11]|B[0,1,4,5,6,7,8,10]",4,8,2.133821769957219,-0.6050202863540761,2.6194087470000627,0.03102569752929929
14,6,coupled,"A[6,7]|B[0,1,2,3,4,5,8,9,10,11]",2,10,1.8343801953451147,0.5744400784618335,1.1457791870255296,0.1376775369027523
14,6,default,"A[6,7]|B[0,1,2,3,4,5,8,9,10,11]",2,10,1.8228534908486669,-0.5094883996065716,2.3051298728748133,0.10346473855490457
14,7,coupled,"A[1,2,10,11]|B[0,3,4,5,6,7,8,9]",4,8,2.6468599755425446,-0.5488715485315421,3.131658870522198,0.17362780625709417
14,7,default,"A[1,2,10,11]|B[0,3,4,5,6,7,8,9]",4,8,1.661867641149187,-0.7702280861067449,2.298918062412145,0.03456611797304787
14,8,coupled,"A[3,4,5,6,7,8]|B[0,1,2,9,10,11]",6,6,2.4732550249945815,-1.1175272851873759,3.5078768142023504,0.0802912919093004
14,8,default,"A[3,4,5,6,7,8]|B[0,1,2,9,10,11]",6,6,1.7615506509318308,0.2509111848813461,1.3698628230872516,0.040010611968327
14,9,coupled,"A[2,3,5,6,10,11]|B[0,1,4,7,8,9]",6,6,1.8874285063284262,-0.9822881552075802,2.7132518295273735,0.06925604335966606
14,9,default,"A[2,3,5,6,10,11]|B[0,1,4,7,8,9]",6,6,1.8943672800793467,-0.5377248904745082,2.370671598233044,0.02441009698105301
15,0,coupled,"A[2,3,6,8,10]|B[0,1,4,5,7,9,11]",5,7,1.9143016038210163,-1.4803787075509076,3.3997423156837305,0.14060666146650624
15,0,default,"A[2,3,6,8,10]|B[0,1,4,5,7,9,11]",5,7,1.7010484648580237,-0.1979495896385357,1.8226018454099775,0.06247386019289003
15,1,coupled,"A[2,3,8]|B[0,1,4,5,6,7,9,10,11]",3,9,1.7297628510148495,-0.11170106226006293,1.7665693296245477,0.1222171363172524
15,1,default,"A[2,3,8]|B[0,1,4,5,6,7,9,10,11]",3,9,1.8091039354245801,-0.6015195845399326,2.3724319625777985,0.03879432426431206
